link_properti|nama_properti|alamat|kelurahan|kecamatan|kota|provinsi|jenis_kost|fasilitas_gedung|tipe_kamar|room_area|harga_room_bulanan
https://infokost.id/listing/apartemen-kondominium-seaview2-baywalk-mall-green-bay-pluit/|Apartemen Kondominium Sea View 2 Baywalk Mall Green Bay, Pluit|Kondo Sea View 2 Tower L unit 11 AP. Bay Walk Mall, Green Bay, Pluit|PLUIT|PENJARINGAN|KOTA JAKARTA UTARA|DKI JAKARTA|Kost Campur|AC; Area makan; Area parkir; CCTV; Cleaning service; Dapur; Dispenser; Jendela Menghadap Luar; Baywalk Mall; Pluit Village; Pelabuhan Muara Angke|Sea View 4|6|8000000
https://infokost.id/listing/kost-samawa/|Kost Samawa|Jl. Asem Gede II No. 10 utan kayu selatan matraman Jakarta Timur|UTAN KAYU SELATAN|MATRAMAN|KOTA JAKARTA TIMUR|DKI JAKARTA|Kost Putri|Area makan; Area parkir; CCTV; Dapur; Kompor; Kulkas; Meja kompor; Ruang santai / ruang tamu;   Supermarket;   Sekolah;   Rumah Sakit;   Rumah Makan;   Mall;   Kampus|Standard|12|1500000
https://infokost.id/listing/kost-omah-ciragil-37/|Kost Omah Ciragil 37|Jl. Ciragil I No.37, RT.5/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia|RAWA BARAT|KEBAYORAN BARU|KOTA JAKARTA SELATAN|DKI JAKARTA|Kost Campur|AC; Area makan; Area parkir; CCTV; Cleaning service; Dapur; Dispenser; Jendela Menghadap Luar;   Supermarket;   Sekolah;   Rumah Sakit;   Rumah Makan;   Mall;   Kampus|Deluxe|15|6000000
https://infokost.id/listing/griya-jasta/|Griya Jasta|Margonda Raya Gg haji atan no 1, rt 04 rw 12, kelurahan kemirimuka, kecamatan beji, depok, jawabarat|KEMIRIMUKA|BEJI|KOTA DEPOK|JAWA BARAT|Kost Campur|Area parkir; CCTV; Cleaning service; Dapur; Dispenser; Kompor; Kulkas; Laundry; Universitas Indonesia; Stasiun Pondok Cina; Margo City; PNJ; Mal Pesona Square|Room Type 3|16|2500000
https://infokost.id/listing/w-one-1-kebon-kacang/|W One 1 Kebon Kacang|Jl. Kebon Kacang 42, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia|KEBON KACANG|TANAH ABANG|KOTA JAKARTA PUSAT|DKI JAKARTA|Kost Campur|Area parkir; Dispenser; Kulkas; Laundry; Meja kompor; Microwave; Grand Indonesia; Bundaran HI; Thamrin City; Plaza Indonesia; Stasiun MRT Bundaran HI|Kamar C|24|4000000
https://infokost.id/listing/kos-37-senayan/|Kos Tulodong 37 Senayan|Tulodong bawah V no 37 Kelurahan senayan Kec kebayoran baru Jakarta selatan|SENAYAN|KEBAYORAN BARU|KOTA JAKARTA SELATAN|DKI JAKARTA|Kost Campur|AC; Area makan; Area parkir; CCTV; Cleaning service; Dapur; Jendela Menghadap Luar; Kompor; Stasiun MRT Senayan; SCBD; Zoya Plaza Semanggi; MRCCC Siloam Hospitals Semanggi; Pacific Place Mall|Kamar 2|9|2700000
https://infokost.id/listing/kost-mm/|Kost MM|Jalan MM no.1ABC RT 04/09 Sukabumi Utara, Kebon Jeruk, Jakarta Barat 11540|SUKABUMI UTARA|KEBON JERUK|KOTA JAKARTA BARAT|DKI JAKARTA|Kost Campur|AC; Area parkir; CCTV; Dispenser; Jendela Menghadap Luar; Kompor; Kulkas; Meja kompor; Pasar Bunga Rawa Belong; Universitas Bina Nusantara – Kampus Syahdan; Grand ITC Permata Hijau; RS Medika Permata Hijau|Kamar C|10|2000000
https://infokost.id/listing/griya-gily/|Griya Gily|Jl. Karet Gusuran III No.2, RT.2/RW.1, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920, Indonesia|KARET KUNINGAN|SETIA BUDI|KOTA JAKARTA SELATAN|DKI JAKARTA|Kost Campur|AC; Area makan; Area parkir; Cleaning service; Dispenser; Jendela Menghadap Luar; Kulkas; Microwave; Stasiun MRT Setiabudi Astra; World Trade Centre Jakarta; Plaza Festival Mall Kuningan; Epicentrum XXI|Queen|21|3800000
https://infokost.id/listing/kost-mabes-4r-residence-taman-sari-jakarta-barat/|Kost Mabes 4R Residence Taman Sari Jakarta Barat|Jalan Mangga besar 4R No 61,Taman Sari ,Jakarta Barat|TAMAN SARI|TAMAN SARI|KOTA JAKARTA BARAT|DKI JAKARTA|Kost Campur|AC; Area makan; Area parkir; CCTV; Cleaning service; Dapur; Dispenser; Jendela Menghadap Luar; Stasiun Sawah Besar; Stasiun Mangga Besar; Gajah Mada Plaza Mall; Coffe Shop; Warung Makan; Gedung Arsip Nasional Republik Indonesia|Executive King Bed City View|5|3500000
https://infokost.id/listing/kos-karyawan-22rooms-ragunan-pasar-minggu/|KOS KARYAWAN 22Rooms @Ragunan, Pasar Minggu|Cluster Mutiara Ragunan No. 1E, Jl. RM. Harsono, Ragunan, Pasar Minggu, Jakarta Selatan 12550|RAGUNAN|PASAR MINGGU|KOTA JAKARTA SELATAN|DKI JAKARTA|Kost Putra|Area parkir; CCTV; Cleaning service; Dapur; Jendela Menghadap Luar; Kulkas; Mesin cuci; Tempat jemur pakaian; Taman Margasatwa Ragunan; RSUD Pasar Minggu; Transmart Cilandak; Bank BRI Corporate University|non AC|9|1500000
