link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/sarigading-suites/;Sarigading Suites Denpasar Utara Denpasar;Jalan Sari Gading No.14, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali, 80236;TONJA;DENPASAR UTARA;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Tempat jemur pakaian-Wifi-IPB International-Universitas Bali Internasional-Rumah Sakit Umum Bhakti Rahayu;Suites Room;24;3500000
https://infokost.id/listing/al-isha-home-for-spiritual-travelers/;Al-Isha Home for Spiritual Travelers;Jl. Pura Mertasari No.27 Sunset Road Area Kuta Bali;PEMECUTAN KLOD;DENPASAR BARAT;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Kolam renang-Kompor-Laundry-Meja kompor-Rumah Sakit Siloam Denpasar-Trans Studio Mall Bali-Pantai Kuta;Standard - Ground Floor;16;2500000
https://infokost.id/listing/al-isha-home-for-spiritual-travelers/;Al-Isha Home for Spiritual Travelers;Jl. Pura Mertasari No.27 Sunset Road Area Kuta Bali;PEMECUTAN KLOD;DENPASAR BARAT;KOTA DENPASAR;BALI;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Kolam renang-Kompor-Laundry-Meja kompor-Rumah Sakit Siloam Denpasar-Trans Studio Mall Bali-Pantai Kuta;Standard - First Floor;16;3000000
https://infokost.id/listing/kost-the-denok-tegal-kertha-denpasar-barat/;Kost The Denok Tegal Kertha Denpasar Barat;Jl. Gunung Bromo No. 11, Tegal Kartha, Kota Denpasar, Bali 80112;TEGAL KERTHA;DENPASAR BARAT;KOTA DENPASAR;BALI;Kost Campur;AC-Area parkir-CCTV-Jendela Menghadap Luar-Wifi-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus-  Halte Bus;Standard;24;2500000
https://infokost.id/listing/sthiradhipa-house-denpasar-timur/;Sthiradhipa House Denpasar Timur;;SUMERTA KELOD;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Putra;AC-Area parkir-Tempat jemur pakaian-Wifi-Lapangan Niti Mandala Renon-Monumen Bajra Sandhi-Institut Teknologi Dan Bisnis STIKOM BALI-Matahari Duta Mall Plaza-Universitas Udayana-Plaza Renon-Institut Seni Indonesia Denpasar-Pasar Swalayan Tiara Dewata;Regular Single;2;1400000
https://infokost.id/listing/sthiradhipa-house-denpasar-timur/;Sthiradhipa House Denpasar Timur;;SUMERTA KELOD;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Putra;AC-Area parkir-Tempat jemur pakaian-Wifi-Lapangan Niti Mandala Renon-Monumen Bajra Sandhi-Institut Teknologi Dan Bisnis STIKOM BALI-Matahari Duta Mall Plaza-Universitas Udayana-Plaza Renon-Institut Seni Indonesia Denpasar-Pasar Swalayan Tiara Dewata;Superior Double;2;1700000
https://infokost.id/listing/pondok-taman-sari-sanur-denpasar-selatan/;Pondok Taman Sari Sanur Denpasar Selatan;;SANUR KAJA;DENPASAR SELATAN;KOTA DENPASAR;BALI;Kost Campur;AC-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Pantai Matahari Terbit Sanur-Pelabuhan SANUR-Museum Le Mayeur-GrandLucky Sanur-McDonald’s Sanur-Pantai Sindhu-Bintang Supermarket-Universitas Warmadewa;Master Queen;6;2000000
https://infokost.id/listing/pondok-taman-sari-sanur-denpasar-selatan/;Pondok Taman Sari Sanur Denpasar Selatan;;SANUR KAJA;DENPASAR SELATAN;KOTA DENPASAR;BALI;Kost Campur;AC-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Pantai Matahari Terbit Sanur-Pelabuhan SANUR-Museum Le Mayeur-GrandLucky Sanur-McDonald’s Sanur-Pantai Sindhu-Bintang Supermarket-Universitas Warmadewa;Executive Queen;19;2500000
https://infokost.id/listing/the-legian-777/;The Legian 777;Jl. Patimura No.49, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361;LEGIAN;KUTA;KABUPATEN BADUNG;BALI;Kost Campur;Area parkir-CCTV-Mesin cuci-Tempat jemur pakaian-Wifi-Tugu Peringatan Bom Bali-Rumah Sakit Siloam Denpasar-Krisna Oleh – Oleh Bali Sunset Road-Mall Bali Galeria ᬫᬮ᭄ᬩᬮᬶᬕᬮᬾᬭᬶᬬ᭟;Double Bed;12;2700000
https://infokost.id/listing/vas-living/;Vas Living;JL. Sekar Tunjung VI no. 28 Denpasar Timur;KESIMAN KERTALANGU;DENPASAR TIMUR;KOTA DENPASAR;BALI;Kost Campur;AC-Area makan-Area parkir-CCTV-Dapur-Jendela Menghadap Luar-Kompor-Kulkas-Universitas Hindu Indonesia-Pasar Batu Bulan Senggol-Indonesian Institute of the Arts, Denpasar;Single bed;15;1500000
