link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/apartemen-kondominium-seaview2-baywalk-mall-green-bay-pluit/;Apartemen Kondominium Sea View 2 Baywalk Mall Green Bay, Pluit;Kondo Sea View 2 Tower L unit 11 AP. Bay Walk Mall, Green Bay, Pluit;PLUIT;PENJARINGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-Baywalk Mall-Pluit Village-Pelabuhan Muara Angke;Sea View 1;5;6000000
https://infokost.id/listing/apartemen-kondominium-seaview2-baywalk-mall-green-bay-pluit/;Apartemen Kondominium Sea View 2 Baywalk Mall Green Bay, Pluit;Kondo Sea View 2 Tower L unit 11 AP. Bay Walk Mall, Green Bay, Pluit;PLUIT;PENJARINGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-Baywalk Mall-Pluit Village-Pelabuhan Muara Angke;Sea View 3;5;8000000
https://infokost.id/listing/apartemen-kondominium-seaview2-baywalk-mall-green-bay-pluit/;Apartemen Kondominium Sea View 2 Baywalk Mall Green Bay, Pluit;Kondo Sea View 2 Tower L unit 11 AP. Bay Walk Mall, Green Bay, Pluit;PLUIT;PENJARINGAN;KOTA JAKARTA UTARA;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-Baywalk Mall-Pluit Village-Pelabuhan Muara Angke;Sea View 4;6;8000000
https://infokost.id/listing/kost-samawa/;Kost Samawa;Jl. Asem Gede II No. 10 utan kayu selatan matraman Jakarta Timur;UTAN KAYU SELATAN;MATRAMAN;KOTA JAKARTA TIMUR;DKI JAKARTA;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Kompor-Kulkas-Meja kompor-Ruang santai / ruang tamu-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Standard;12;1500000
https://infokost.id/listing/kost-omah-ciragil-37/;Kost Omah Ciragil 37;Jl. Ciragil I No.37, RT.5/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia;RAWA BARAT;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;VIP;12;10000000
https://infokost.id/listing/kost-omah-ciragil-37/;Kost Omah Ciragil 37;Jl. Ciragil I No.37, RT.5/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia;RAWA BARAT;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Standard;12;4500000
https://infokost.id/listing/kost-omah-ciragil-37/;Kost Omah Ciragil 37;Jl. Ciragil I No.37, RT.5/RW.7, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia;RAWA BARAT;KEBAYORAN BARU;KOTA JAKARTA SELATAN;DKI JAKARTA;Kost Campur;AC-Area makan-Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Jendela Menghadap Luar-  Supermarket-  Sekolah-  Rumah Sakit-  Rumah Makan-  Mall-  Kampus;Deluxe;15;6000000
https://infokost.id/listing/griya-jasta/;Griya Jasta;Margonda Raya Gg haji atan no 1, rt 04 rw 12, kelurahan kemirimuka, kecamatan beji, depok, jawabarat;KEMIRIMUKA;BEJI;KOTA DEPOK;JAWA BARAT;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Laundry-Universitas Indonesia-Stasiun Pondok Cina-Margo City-PNJ-Mal Pesona Square;Room Type 1;23;2600000
https://infokost.id/listing/griya-jasta/;Griya Jasta;Margonda Raya Gg haji atan no 1, rt 04 rw 12, kelurahan kemirimuka, kecamatan beji, depok, jawabarat;KEMIRIMUKA;BEJI;KOTA DEPOK;JAWA BARAT;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Laundry-Universitas Indonesia-Stasiun Pondok Cina-Margo City-PNJ-Mal Pesona Square;Room Type 2;18;2550000
https://infokost.id/listing/griya-jasta/;Griya Jasta;Margonda Raya Gg haji atan no 1, rt 04 rw 12, kelurahan kemirimuka, kecamatan beji, depok, jawabarat;KEMIRIMUKA;BEJI;KOTA DEPOK;JAWA BARAT;Kost Campur;Area parkir-CCTV-Cleaning service-Dapur-Dispenser-Kompor-Kulkas-Laundry-Universitas Indonesia-Stasiun Pondok Cina-Margo City-PNJ-Mal Pesona Square;Room Type 3;16;2500000
