link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/the-aryana-kost-eksklusif-putri/;The Aryana Kost Eksklusif Putri Sleman Yogyakarta;Jl. Seturan I Gg. Jeruk No. 8B;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;AC-Area parkir-CCTV-Dapur-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Universitas Pembangunan Nasional Veteran “UPN”-Universitas Negeri Yogyakarta-UIN Sunan Kalijaga Yogyakarta-RSKIA Sadewa-Universitas Gadjah Mada-Atma Jaya, Mercu Buana, FEB UII, IAIN, Amikom-Pakuwon Mall dan Ambarukmo Mall-Siloam Hospital dan JIH;Reguler;9;1800000
https://infokost.id/listing/the-aryana-kost-eksklusif-putri/;The Aryana Kost Eksklusif Putri Sleman Yogyakarta;Jl. Seturan I Gg. Jeruk No. 8B;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;AC-Area parkir-CCTV-Dapur-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Universitas Pembangunan Nasional Veteran “UPN”-Universitas Negeri Yogyakarta-UIN Sunan Kalijaga Yogyakarta-RSKIA Sadewa-Universitas Gadjah Mada-Atma Jaya, Mercu Buana, FEB UII, IAIN, Amikom-Pakuwon Mall dan Ambarukmo Mall-Siloam Hospital dan JIH;Deluxe;14;2000000
https://infokost.id/listing/the-aryana-kost-eksklusif-putri/;The Aryana Kost Eksklusif Putri Sleman Yogyakarta;Jl. Seturan I Gg. Jeruk No. 8B;CATUR TUNGGAL;DEPOK;KABUPATEN SLEMAN;DI YOGYAKARTA;Kost Putri;AC-Area parkir-CCTV-Dapur-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Universitas Pembangunan Nasional Veteran “UPN”-Universitas Negeri Yogyakarta-UIN Sunan Kalijaga Yogyakarta-RSKIA Sadewa-Universitas Gadjah Mada-Atma Jaya, Mercu Buana, FEB UII, IAIN, Amikom-Pakuwon Mall dan Ambarukmo Mall-Siloam Hospital dan JIH;Superior;24;2300000
https://infokost.id/listing/kost-putri-survive-kotagede-yogyakarta/;Kost Putri Survive Kotagede Yogyakarta;Jalan Nyi Ageng Nis, Gang Melati, Belok kiri Gang Cempaka, Pilahan RT 37 RW 12, Perum MA nomor 5, Rejowinangun Kotagedhe Yogyakarta;REJOWINANGUN;KOTAGEDE;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Mesin cuci-Microwave-Universitas Ahmad Dahlan – Kampus 2-Taman Reptil Gembira Loka Zoo-RSI Hidayatullah-Kampus 2 UTY;Tipe A - Kamar Mandi Luar;5;700000
https://infokost.id/listing/kost-putri-survive-kotagede-yogyakarta/;Kost Putri Survive Kotagede Yogyakarta;Jalan Nyi Ageng Nis, Gang Melati, Belok kiri Gang Cempaka, Pilahan RT 37 RW 12, Perum MA nomor 5, Rejowinangun Kotagedhe Yogyakarta;REJOWINANGUN;KOTAGEDE;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Mesin cuci-Microwave-Universitas Ahmad Dahlan – Kampus 2-Taman Reptil Gembira Loka Zoo-RSI Hidayatullah-Kampus 2 UTY;Tipe B;5;900000
https://infokost.id/listing/kost-putri-survive-kotagede-yogyakarta/;Kost Putri Survive Kotagede Yogyakarta;Jalan Nyi Ageng Nis, Gang Melati, Belok kiri Gang Cempaka, Pilahan RT 37 RW 12, Perum MA nomor 5, Rejowinangun Kotagedhe Yogyakarta;REJOWINANGUN;KOTAGEDE;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putri;Area parkir-CCTV-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Mesin cuci-Microwave-Universitas Ahmad Dahlan – Kampus 2-Taman Reptil Gembira Loka Zoo-RSI Hidayatullah-Kampus 2 UTY;Tipe C;5;500000
https://infokost.id/listing/omah-sate-dakir-wirobrajan-yogyakarta/;Omah Sate Dakir Wirobrajan Yogyakarta;Jl HOS Cokroaminoto 75 Wirobrajan Jogyakarta;PAKUNCEN;WIROBRAJAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;AC-Area parkir-Meja kompor-Mesin cuci-Tempat jemur pakaian-Wifi-Stasiun Yogyakarta-Jogja National Museum-Sakola Jogja-Masjid Kuncen Yogyakarta;Single;5;800000
https://infokost.id/listing/omah-sate-dakir-wirobrajan-yogyakarta/;Omah Sate Dakir Wirobrajan Yogyakarta;Jl HOS Cokroaminoto 75 Wirobrajan Jogyakarta;PAKUNCEN;WIROBRAJAN;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Putra;AC-Area parkir-Meja kompor-Mesin cuci-Tempat jemur pakaian-Wifi-Stasiun Yogyakarta-Jogja National Museum-Sakola Jogja-Masjid Kuncen Yogyakarta;Standard;9;900000
https://infokost.id/listing/omah-uti-residence-karangwaru-yogyakarta/;Omah Uti Residence Karangwaru Yogyakarta;;KARANGWARU;TEGALREJO;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Campur;AC-Area parkir-Dapur-Kompor-Kulkas-Pemanas Air-Tempat jemur pakaian-Wifi-Universitas Gadjah Mada-Jogja City Mall-Malioboro Yogyakarta-Universitas Negeri Yogyakarta-The House Of Raminten-Monumen Yogya Kembali-Stasiun Lempuyangan;Regular Queen;8;2200000
https://infokost.id/listing/omah-uti-residence-karangwaru-yogyakarta/;Omah Uti Residence Karangwaru Yogyakarta;;KARANGWARU;TEGALREJO;KOTA YOGYAKARTA;DI YOGYAKARTA;Kost Campur;AC-Area parkir-Dapur-Kompor-Kulkas-Pemanas Air-Tempat jemur pakaian-Wifi-Universitas Gadjah Mada-Jogja City Mall-Malioboro Yogyakarta-Universitas Negeri Yogyakarta-The House Of Raminten-Monumen Yogya Kembali-Stasiun Lempuyangan;Compact Queen;2;2150000
