link_properti;nama_properti;alamat;kelurahan;kecamatan;kota;provinsi;jenis_kost;fasilitas_gedung;tipe_kamar;room_area;harga_room_bulanan
https://infokost.id/listing/ruoptions-pondok-nusa-indah-waru-sidoarjo/;Pondok Nusa Indah Waru Sidoarjo;Jl. Nusa Indah No.101, Koreksari, Kureksari, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256, Indonesia;KUREKSARI;SIDOARJO;KOTA SURABAYA;JAWA TIMUR;Kost Campur;Area parkir-CCTV-Dapur-Ruang santai / ruang tamu-Wifi-Universitas Sunan Giri Surabaya ( unsuri ) 2 km-Terminal Bungurasih 2.1 km-Stasiun Waru 2.3 km-City of Tomorrow Mall 3.1 km-RS Mitra Keluarga Waru 3.4 km-Universitas Kristen Petra 4.5 km-UIN Sunan Ampel Surabaya 5.3 km;Superior Queen;1;1550000
https://infokost.id/listing/casa-graha-wiyung-surabaya/;Casa Graha Wiyung Surabaya;Simpang Graha Famili 1 blok P59;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;AC-Area makan-Area parkir-Cleaning service-Dispenser-Jendela Menghadap Luar-Kompor-Kulkas-Universitas Negeri Surabaya-Bukit Darmo Golf Surabaya-Rumah Sakit Marinir Ewa Pangalila-Pakuwon Mall Surabaya;Standard;9;5000000
https://infokost.id/listing/kost-dblue/;Kost D’Blue;64c, Jl. Siwalankerto No.4, Siwalankerto, Kec. Wonocolo, Kota SBY, Jawa Timur 60236, Indonesia;SIWALANKERTO;WONOCOLO;KOTA SURABAYA;JAWA TIMUR;Kost Campur;Area parkir-CCTV-Dapur-Dispenser-Kompor-Kulkas-Laundry-Ruang santai / ruang tamu-Universitas Kristen Petra 0.7 km-Universitas Islam Negeri Sunan Ampel Surabaya 2.2 km-Universitas Sunan Giri Surabaya ( unsuri ) 2.3 km-City of Tomorrow Mall 2.6 km-Stasiun Waru 3.1 km-RS Mitra Keluarga Waru 4.4 km;Pocket Single;5;850000
https://infokost.id/listing/kost-guesthouse-holistay-nginden-surabaya-2/;Kost GuestHouse Holistay Nginden Surabaya;Jl. Nginden II No.133, Nginden Jangkungan, Kec. Sukolilo, Kota SBY, Jawa Timur;NGINDENG;SUKOLILO;KOTA SURABAYA;JAWA TIMUR;Kost Campur;Area parkir-Dapur-Ruang santai / ruang tamu-Wifi-Universitas 17 Agustus 1945 Surabaya 0.6 km-Rumah Sakit Premier Surabaya 1.4 km-Transmart Carrefour Rungkut Surabaya 2.5 km-Universitas Airlangga – Kampus B 4.7 km-Jatim International Expo (JIE) Convention Exhibition 5.7 km-Royal Plaza Surabaya 6.5 km-Bandar Udara Internasional Juanda 11.9 km;Compact Queen A;70;1750000
https://infokost.id/listing/kost-guesthouse-holistay-nginden-surabaya-2/;Kost GuestHouse Holistay Nginden Surabaya;Jl. Nginden II No.133, Nginden Jangkungan, Kec. Sukolilo, Kota SBY, Jawa Timur;NGINDENG;SUKOLILO;KOTA SURABAYA;JAWA TIMUR;Kost Campur;Area parkir-Dapur-Ruang santai / ruang tamu-Wifi-Universitas 17 Agustus 1945 Surabaya 0.6 km-Rumah Sakit Premier Surabaya 1.4 km-Transmart Carrefour Rungkut Surabaya 2.5 km-Universitas Airlangga – Kampus B 4.7 km-Jatim International Expo (JIE) Convention Exhibition 5.7 km-Royal Plaza Surabaya 6.5 km-Bandar Udara Internasional Juanda 11.9 km;Compact Queen B;80;1800000
https://infokost.id/listing/aurora-house-wiyung-surabaya/;Aurora House Wiyung Surabaya;;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Wifi-RS Wiyung Sejahtera0-RS Wijaya Surabaya-Universitas Negeri Surabaya-RSAU dr. M. Salamun-Pakuwon Mall;Pocket Single A;6;1150000
https://infokost.id/listing/aurora-house-wiyung-surabaya/;Aurora House Wiyung Surabaya;;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Wifi-RS Wiyung Sejahtera0-RS Wijaya Surabaya-Universitas Negeri Surabaya-RSAU dr. M. Salamun-Pakuwon Mall;Pocket Single B;6;1150000
https://infokost.id/listing/aurora-house-wiyung-surabaya/;Aurora House Wiyung Surabaya;;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Wifi-RS Wiyung Sejahtera0-RS Wijaya Surabaya-Universitas Negeri Surabaya-RSAU dr. M. Salamun-Pakuwon Mall;Compact Single A;9;1400000
https://infokost.id/listing/aurora-house-wiyung-surabaya/;Aurora House Wiyung Surabaya;;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Wifi-RS Wiyung Sejahtera0-RS Wijaya Surabaya-Universitas Negeri Surabaya-RSAU dr. M. Salamun-Pakuwon Mall;Compact Single B;7;1150000
https://infokost.id/listing/aurora-house-wiyung-surabaya/;Aurora House Wiyung Surabaya;;BABATAN;WIYUNG;KOTA SURABAYA;JAWA TIMUR;Kost Putri;Area makan-Area parkir-CCTV-Dapur-Dispenser-Kulkas-Ruang santai / ruang tamu-Wifi-RS Wiyung Sejahtera0-RS Wijaya Surabaya-Universitas Negeri Surabaya-RSAU dr. M. Salamun-Pakuwon Mall;Superior Single;12;1350000
https://infokost.id/listing/kost-mickhail-waru-sidoarjo/;Kost Mickhail Waru Sidoarjo;Jln Usman janatin no 3 a RT 9 RW 3 Medaeng waru Sidoarjo Jawa timur;MEDAENG;WARU;KABUPATEN SIDOARJO;JAWA TIMUR;Kost Campur;CCTV-Wifi-Stasiun Waru-City of Tomorrow Mall-RS Mitra Keluarga Waru-Warung Makan;Standard;12;600000
